timestamp_s,FL_hip_q_real,FL_hip_q_ref,FL_hip_dq_real,FL_hip_error,FL_knee_q_real,FL_knee_q_ref,FL_knee_dq_real,FL_knee_error,FR_hip_q_real,FR_hip_q_ref,FR_hip_dq_real,FR_hip_error,FR_knee_q_real,FR_knee_q_ref,FR_knee_dq_real,FR_knee_error,BR_hip_q_real,BR_hip_q_ref,BR_hip_dq_real,BR_hip_error,BR_knee_q_real,BR_knee_q_ref,BR_knee_dq_real,BR_knee_error,BL_hip_q_real,BL_hip_q_ref,BL_hip_dq_real,BL_hip_error,BL_knee_q_real,BL_knee_q_ref,BL_knee_dq_real,BL_knee_error
0.000000,1.031203,1.044095,0.148732,0.012891,-1.770911,-1.770879,0.000379,0.000032,0.738879,0.726784,-0.139438,-0.012095,-1.770144,-1.770879,-0.008482,-0.000735,1.035368,1.044095,0.100615,0.008727,-1.772664,-1.770879,0.020539,0.001786,0.735506,0.726784,-0.100738,-0.008722,-1.773046,-1.770879,0.024874,0.002167
0.002000,1.031461,1.044095,0.145758,0.012634,-1.770910,-1.770879,0.000371,0.000032,0.738637,0.726784,-0.136649,-0.011853,-1.770159,-1.770879,-0.008313,-0.000720,1.035542,1.044095,0.098602,0.008552,-1.772629,-1.770879,0.020128,0.001750,0.735331,0.726784,-0.098723,-0.008547,-1.773003,-1.770879,0.024377,0.002124
0.004000,1.031714,1.044095,0.142842,0.012381,-1.770910,-1.770879,0.000364,0.000031,0.738400,0.726784,-0.133916,-0.011616,-1.770173,-1.770879,-0.008146,-0.000706,1.035713,1.044095,0.096630,0.008381,-1.772594,-1.770879,0.019725,0.001715,0.735160,0.726784,-0.096749,-0.008376,-1.772960,-1.770879,0.023889,0.002082
0.006000,1.031961,1.044095,0.139986,0.012133,-1.770909,-1.770879,0.000357,0.000031,0.738168,0.726784,-0.131237,-0.011384,-1.770187,-1.770879,-0.007983,-0.000692,1.035881,1.044095,0.094697,0.008214,-1.772560,-1.770879,0.019331,0.001681,0.734992,0.726784,-0.094813,-0.008208,-1.772919,-1.770879,0.023412,0.002040
0.008000,1.032204,1.044095,0.137186,0.011891,-1.770909,-1.770879,0.000350,0.000030,0.737940,0.726784,-0.128613,-0.011156,-1.770201,-1.770879,-0.007824,-0.000678,1.036045,1.044095,0.092803,0.008050,-1.772526,-1.770879,0.018944,0.001647,0.734828,0.726784,-0.092917,-0.008044,-1.772878,-1.770879,0.022944,0.002000
0.010000,1.032442,1.044095,0.134442,0.011653,-1.770908,-1.770879,0.000343,0.000029,0.737718,0.726784,-0.126040,-0.010933,-1.770215,-1.770879,-0.007667,-0.000664,1.036206,1.044095,0.090947,0.007889,-1.772493,-1.770879,0.018565,0.001615,0.734667,0.726784,-0.091058,-0.007883,-1.772839,-1.770879,0.022486,0.001960
0.012000,1.032675,1.044095,0.131753,0.011420,-1.770907,-1.770879,0.000336,0.000029,0.737499,0.726784,-0.123520,-0.010715,-1.770228,-1.770879,-0.007514,-0.000651,1.036363,1.044095,0.089127,0.007731,-1.772461,-1.770879,0.018193,0.001582,0.734509,0.726784,-0.089236,-0.007725,-1.772800,-1.770879,0.022036,0.001921
0.014000,1.032903,1.044095,0.129118,0.011192,-1.770907,-1.770879,0.000329,0.000028,0.737285,0.726784,-0.121049,-0.010501,-1.770241,-1.770879,-0.007364,-0.000638,1.036518,1.044095,0.087345,0.007577,-1.772430,-1.770879,0.017829,0.001551,0.734354,0.726784,-0.087451,-0.007570,-1.772761,-1.770879,0.021596,0.001883
0.016000,1.033127,1.044095,0.126536,0.010968,-1.770906,-1.770879,0.000322,0.000028,0.737075,0.726784,-0.118628,-0.010291,-1.770254,-1.770879,-0.007216,-0.000625,1.036669,1.044095,0.085597,0.007425,-1.772399,-1.770879,0.017472,0.001520,0.734203,0.726784,-0.085702,-0.007419,-1.772724,-1.770879,0.021164,0.001845
0.018000,1.033346,1.044095,0.124005,0.010748,-1.770906,-1.770879,0.000316,0.000027,0.736870,0.726784,-0.116255,-0.010085,-1.770266,-1.770879,-0.007072,-0.000613,1.036818,1.044095,0.083885,0.007277,-1.772368,-1.770879,0.017122,0.001490,0.734054,0.726784,-0.083987,-0.007270,-1.772687,-1.770879,0.020742,0.001809
